absorption_n,absorption_short_wick_frac,bars,bin,exhaustion_n,exhaustion_short_wick_frac,filled_exhaustion_n,filled_exhaustion_short_wick_frac,lower_at_0,lower_at_1,lower_count,lower_eq1,lower_eq1_short_wick_frac,mean,median,n,pct_eq1,pct_ge_thr,rows,section,session_date,symmetric_gate_recommended,tick_size,ticks,timeframe,upper_at_0,upper_at_1,upper_count,upper_eq1,upper_eq1_short_wick_frac,wick_bucket
,,,,,,,,,,,,,,,,,,8000,meta,all,,0.25,,1m,,,,,,
,,,0.00-0.05,,,,,,,1704,,,,,,,,,A_liquidity_bin,,,,,,,,1719,,,
,,,0.05-0.10,,,,,,,613,,,,,,,,,A_liquidity_bin,,,,,,,,558,,,
,,,0.10-0.15,,,,,,,639,,,,,,,,,A_liquidity_bin,,,,,,,,618,,,
,,,0.15-0.20,,,,,,,687,,,,,,,,,A_liquidity_bin,,,,,,,,667,,,
,,,0.20-0.25,,,,,,,667,,,,,,,,,A_liquidity_bin,,,,,,,,678,,,
,,,0.25-0.30,,,,,,,585,,,,,,,,,A_liquidity_bin,,,,,,,,633,,,
,,,0.30-0.35,,,,,,,534,,,,,,,,,A_liquidity_bin,,,,,,,,528,,,
,,,0.35-0.40,,,,,,,421,,,,,,,,,A_liquidity_bin,,,,,,,,412,,,
,,,0.40-0.45,,,,,,,302,,,,,,,,,A_liquidity_bin,,,,,,,,310,,,
,,,0.45-0.50,,,,,,,200,,,,,,,,,A_liquidity_bin,,,,,,,,193,,,
,,,0.50-0.55,,,,,,,114,,,,,,,,,A_liquidity_bin,,,,,,,,133,,,
,,,0.55-0.60,,,,,,,59,,,,,,,,,A_liquidity_bin,,,,,,,,64,,,
,,,0.60-0.65,,,,,,,55,,,,,,,,,A_liquidity_bin,,,,,,,,41,,,
,,,0.65-0.70,,,,,,,25,,,,,,,,,A_liquidity_bin,,,,,,,,22,,,
,,,0.70-0.75,,,,,,,6,,,,,,,,,A_liquidity_bin,,,,,,,,10,,,
,,,0.75-0.80,,,,,,,4,,,,,,,,,A_liquidity_bin,,,,,,,,2,,,
,,,0.80-0.85,,,,,,,0,,,,,,,,,A_liquidity_bin,,,,,,,,0,,,
,,,0.85-0.90,,,,,,,0,,,,,,,,,A_liquidity_bin,,,,,,,,0,,,
,,,0.90-0.95,,,,,,,0,,,,,,,,,A_liquidity_bin,,,,,,,,0,,,
,,,0.95-1.00,,,,,,,1385,,,,,,,,,A_liquidity_bin,,,,,,,,1412,,,
,,,,,,,,889,1385,,,,,,,,,,A_endpoints,,,,,,1001,1412,,,,
,,,,,,,,,,889,,,,,,,,,B_wick_len,,,,0,,,,1001,,,
,,,,,,,,,,1385,,,,,,,,,B_wick_len,,,,1,,,,1411,,,
,,,,,,,,,,1311,,,,,,,,,B_wick_len,,,,2,,,,1298,,,
,,,,,,,,,,1090,,,,,,,,,B_wick_len,,,,3,,,,964,,,
,,,,,,,,,,788,,,,,,,,,B_wick_len,,,,4,,,,784,,,
,,,,,,,,,,632,,,,,,,,,B_wick_len,,,,5,,,,555,,,
,,,,,,,,,,458,,,,,,,,,B_wick_len,,,,6,,,,483,,,
,,,,,,,,,,346,,,,,,,,,B_wick_len,,,,7,,,,361,,,
,,,,,,,,,,271,,,,,,,,,B_wick_len,,,,8,,,,286,,,
,,,,,,,,,,206,,,,,,,,,B_wick_len,,,,9,,,,205,,,
,,,,,,,,,,155,,,,,,,,,B_wick_len,,,,10,,,,147,,,
,,,,,,,,,,128,,,,,,,,,B_wick_len,,,,11,,,,127,,,
,,,,,,,,,,80,,,,,,,,,B_wick_len,,,,12,,,,88,,,
